,‰·“x,Ž¼“x
2016/1/23 1:37,23.635,32.285004
2016/1/23 1:38,23.630503,32.260002
2016/1/23 1:39,23.622105,32.260002
2016/1/23 1:40,23.620499,32.260002
2016/1/23 1:41,23.621002,32.260002
2016/1/23 1:42,23.604502,32.260002
2016/1/23 1:43,23.5995,32.285
2016/1/23 1:44,23.587896,32.27579
2016/1/23 1:45,23.586502,32.260002
2016/1/23 1:46,23.6015,32.260002
2016/1/23 1:47,23.593,32.260002
2016/1/23 1:48,23.591,32.260002
2016/1/23 1:49,23.603,32.2555
2016/1/23 1:50,23.56105,32.260002
2016/1/23 1:51,23.578499,32.260002
2016/1/23 1:52,23.564,32.260002
2016/1/23 1:53,23.519997,32.292995
2016/1/23 1:54,23.532497,32.351997
2016/1/23 1:55,23.517893,32.332626
2016/1/23 1:56,23.508001,32.351
2016/1/23 1:57,23.524496,32.359993
2016/1/23 1:58,23.507504,32.331
2016/1/23 1:59,23.461504,32.340004
2016/1/23 2:00,23.480003,32.340004
2016/1/23 2:01,23.518,32.340996
2016/1/23 2:02,23.5105,32.255997
2016/1/23 2:03,23.498003,32.323006
2016/1/23 2:04,23.5095,32.307
2016/1/23 2:05,23.468504,32.310005
2016/1/23 2:06,23.47842,32.342106
2016/1/23 2:07,23.482502,32.291
2016/1/23 2:08,23.474,32.340004
2016/1/23 2:09,23.457504,32.330006
2016/1/23 2:10,23.436003,32.340004
2016/1/23 2:11,23.427895,32.340004
2016/1/23 2:12,23.406502,32.340004
2016/1/23 2:13,23.4055,32.340004
2016/1/23 2:14,23.397001,32.44
2016/1/23 2:15,23.3975,32.425
2016/1/23 2:16,23.420506,32.370003
2016/1/23 2:17,23.386843,32.361053
2016/1/23 2:18,23.407503,32.380005
2016/1/23 2:19,23.426004,32.340004
2016/1/23 2:20,23.433002,32.340004
2016/1/23 2:21,23.426502,32.340004
2016/1/23 2:22,23.437372,32.340004
2016/1/23 2:23,23.435001,32.340004
2016/1/23 2:24,23.466503,32.315
2016/1/23 2:25,23.424503,32.325005
2016/1/23 2:26,23.429005,32.340004
2016/1/23 2:27,23.429504,32.340004
2016/1/23 2:28,23.4379,32.340004
2016/1/23 2:29,23.441504,32.335003
2016/1/23 2:30,23.417501,32.340004
2016/1/23 2:31,23.442003,32.33
